שם הצעת החוק,מדרג,מספר חוק,ניקוד,קישור להצעת החוק,הסבר הדירוג,הערות אחרות,הגיע להצבעה?,עבר?,יוזם ראשון,חתומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק לתיקון פקודת מס הכנסה (שווי השימוש ברכב או ברדיו טלפון נייד), התשפ""א–2021",bignafcomp@gmail.com,פ/121/24,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156795,מתקן עיוות שבו משלמים מס גבוה על רכב ישן שעלה הרבה במקור.,,1,0,מכלוף מיקי זוהר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מכלוף מיקי זוהר
"הצעת חוק לתיקון פקודת התעבורה (הארכת משך האור הירוק ברמזור להולכי רגל בקרבת בתי ספר ובתי אבות), התשפ'א-2021",,פ\24\122,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156508,,,0,0,ינון אזולאי,בועז טופורובסקי,משה ארבל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ינון אזולאיבועז טופורובסקימשה ארבל
"הצעת חוק לתיקון פקודת מס הכנסה (ניכוי הוצאות כיבוד לפגישה מחוץ למקום העיסוק), התשפ'א-2021",dup_laws_bot,פ\24\123,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156106,"עדכון של הגדרת הוצאות מותרות באופן שיקל את חבות המס של עצמאים. ראה חוק
פ/2393/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2146715",,0,0,עידן רול,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עידן רול
"הצעת חוק מרשם האוכלוסין (תיקון - רישום בת זוג או בן זוג כהורה), התשפ'א-2021",dup_laws_bot,פ\24\124,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156512,"ראה חוק
פ/751/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086588",,0,0,מרב מיכאלי,עמר בר לב,אמילי חיה מואטי,גלעד קריב,אפרת רייטן מרום,רם שפע,אבתיסאם מראענה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מרב מיכאליעמר בר לבאמילי חיה מואטיגלעד קריבאפרת רייטן מרוםרם שפעאבתיסאם מראענה
"הצעת חוק דחיית תשלומי מס לעסק חדש (תיקוני חקיקה), התשפ'א-2021",dup_laws_bot,פ\24\125,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156119,"תמיכה מלאה
הקלה בפתיחת עסקים ראה חוק
פ/2178/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2143714",,0,0,עידן רול,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עידן רול
"הצעת חוק הדגל, הסמל והמנון המדינה (תיקון - שלילת תמיכה), התשפ'א-2021",leebarliberty@gmail.com,פ\24\126,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156821,לא קשור מספיק לחרות,,1,0,מכלוף מיקי זוהר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מכלוף מיקי זוהר
"הצעת חוק לתיקון פקודת מס הכנסה (דחיית הגשת דיווח שנתי לעסק שהוקם ברבעון האחרון של השנה), התשפ'א-2021",dup_laws_bot,פ\24\127,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156121,"undefined ראה חוק
פ/2394/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2146716",,0,0,עידן רול,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עידן רול
"הצעת חוק דמי נסיעה לסטודנטים בתחבורה ציבורית (תיקוני חקיקה), התשפ'א-2021",dup_laws_bot,פ\24\128,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156135,"כיום נסיעה בתחבורה ציבורית מסובסדת בכבדות על ידי משךלמי המיסים. הצעת החוק מעמיקה את הנטל על משלמי המיסים על ידי סבסוד נוסף לסטודנטים והרחבת ההנחה לתלמידי ישיבות על תיכוניות. ראה חוק
פ/194/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085724",,0,0,יעקב אשר,משה גפני,יצחק פינדרוס,אליהו ברוכי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעקב אשרמשה גפנייצחק פינדרוסאליהו ברוכי
"הצעת חוק הביטוח הלאומי (תיקון - הכרה בפגיעה מינית בעבודה כתאונת עבודה), התשפ'א-2021",,פ\24\129,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156471,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק שידורי טלוויזיה (תיאור קולי), התשפ'א-2021",,פ\24\130,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156825,,,0,0,מכלוף מיקי זוהר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מכלוף מיקי זוהר
"הצעת חוק הגנת הצרכן (תיקון - סימון תאריך ייצור ומועד תפוגה עברי), התשפ'א-2021",dup_laws_bot,פ\24\131,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156164,"רגולציה נוספת קטנה ומציקה ראה חוק
פ/1160/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081890",,0,0,יעקב אשר,משה גפני,יצחק פינדרוס,אליהו ברוכי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0יעקב אשרמשה גפנייצחק פינדרוסאליהו ברוכי
"הצעת חוק התגמולים לנפגעי פעולות איבה (תיקון - פשע שנאה), התשפ'א-2021",,פ\24\132,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156475,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק שיקום שכונות דרום תל-אביב (תמריצים לפיזור גיאוגרפי של מסתננים) (הוראת שעה), התשפ'א-2021",dup_laws_bot,פ\24\133,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156520,"ראה חוק
פ/1074/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2082618",,0,0,מרב מיכאלי,עמר בר לב,אמילי חיה מואטי,גלעד קריב,אפרת רייטן מרום,רם שפע,אבתיסאם מראענה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מרב מיכאליעמר בר לבאמילי חיה מואטיגלעד קריבאפרת רייטן מרוםרם שפעאבתיסאם מראענה
"הצעת חוק הביטוח הלאומי (תיקון - זכאות לדמי אבטלה לעובד שהתפטר לשם טיפול בילדו), התשפ'א-2021",dup_laws_bot,פ\24\134,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156479,"נראה הרחבה קטנה של מצב מזיק גם כך. לפי החוק בנאדם יכול לשקר במסגרת החוק, לטעון שהתפטר כדי לטפל בילדו ויום למחרת לדרוש דמי אבטלה. ראה חוק פ/711/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081941 ראה חוק
פ/976/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087184",,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק לתיקון פקודת מס הכנסה (פטור ממס על משיכה הונית מקופת גמל), התשפ'א-2021",,פ\24\135,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156177,,,0,0,יעקב אשר,משה גפני,יצחק פינדרוס,אליהו ברוכי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעקב אשרמשה גפנייצחק פינדרוסאליהו ברוכי
"הצעת חוק הביטוח הלאומי (תיקון - קצבת נכות לעקרת בית), התשפ'א-2021",,פ\24\136,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156498,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק נציב תלונות הציבור על שופטים (תיקון - מינוי הנציב), התשפ'א-2021",,פ\24\137,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156510,,,0,0,שלמה קרעי,ישראל אייכלר,אורית סטרוק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעיישראל אייכלראורית סטרוק
"הצעת חוק הטבות מס ליישוב מעורב, התשפ""א-2021",bignafcomp@gmail.com,פ/138/24,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156179,"הטבות מס הן עיוות ממשלתי. במקרה של הטבת מס לפי יישובים זה חמור יותר, כי זה לא הטבה לאינדיבידואלים ומייצר עוד עיוותים. במקרה של האבת מס הכנסה לאנשים בישובים מסויימים, זה גם רגרסיבי, כי רק מאידים מגיעים לחבות מס.",,1,0,אופיר כץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אופיר כץ
"הצעת חוק הרשויות המקומיות (בחירת ראש הרשות וסגניו וכהונתם) (תיקון - מינוי סגן ראש רשות תשיעי בעיריית ירושלים), התשפ'א-2021",,פ\24\139,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156846,,,0,0,מכלוף מיקי זוהר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מכלוף מיקי זוהר
"הצעת חוק הבנקאות (רישוי) (תיקון - הפרדה בין בנקים), התשפ'א-2021",,פ\24\140,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156549,,,0,0,שלמה קרעי,משה אבוטבול,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעימשה אבוטבול
"הצעת חוק מעונות יום שיקומיים (תיקון - פעוט עם מוגבלות שטרם מלאו לו שישה חודשים), התשפ""א-2021",bignafcomp@gmail.com,פ/141/24,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156525,עניין לשוק נחופשי ולא לכפיית משלמי המיסים (לממן מעון שיקומי מגיל 15 שבועות ועד חצי שנה),,1,0,גדעון סער,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גדעון סער
"הצעת חוק לתיקון פקודת בתי הסוהר (עתירות אסיר - ערעור בזכות), התשפ'א-2021",,פ\24\142,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156650,,,0,0,משה ארבל,ינון אזולאי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,משה ארבלינון אזולאי
"הצעת חוק הגנת הצרכן (תיקון - הגבלות על מכירה מיוחדת), התשפ'א-2021",,פ\24\143,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156200,,,0,0,ינון אזולאי,משה ארבל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ינון אזולאימשה ארבל
"הצעת חוק היטלי סחר ואמצעי הגנה (תיקון - אי פתיחת חקירה בשל יבוא בהיצף בשוק מונופוליסטי או ריכוזי), התשפ'א-2021",dup_laws_bot,פ\24\144,3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156557,"תמיכה מלאה ראה חוק
פ/2269/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2146546",,0,0,שלמה קרעי,משה אבוטבול,ישראל אייכלר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעימשה אבוטבולישראל אייכלר
"הצעת חוק לתיקון פקודת המשטרה (הצעת מועמדים לתפקיד המפקח הכללי של המשטרה בידי ועדת איתור מקצועית-ציבורית), התשפ'א-2021",,פ\24\145,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156648,,,0,0,ניצן הורוביץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ניצן הורוביץ
"הצעת חוק איסור הפליה במוצרים, בשירותים ובכניסה למקומות בידור ולמקומות ציבוריים (תיקון - חובת הודעה מוקדמת על אירוע סגור), התשפ'א-2021",,פ\24\146,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156793,,,0,0,אחמד טיבי,אוסאמה סעדי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אחמד טיביאוסאמה סעדי
"הצעת חוק המועצות האזוריות (בחירת ראש המועצה) (תיקון - הגשת רשימה על ידי סיעה או מפלגה), התשפ'א-2021",dup_laws_bot,פ\24\147,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156869,"ראה חוק
פ/81/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081547",,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק הממשלה (תיקון - פרסום פרוטוקול ישיבות הממשלה), התשפ'א-2021",,פ\24\148,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156226,,,0,0,תמר זנדברג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תמר זנדברג
"הצעת חוק הפרטת תאגיד השידור הציבורי הישראלי, התשפ'א-2021",,פ\24\149,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156220,,,0,0,שלמה קרעי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעי
"הצעת חוק הנכים (תגמולים ושיקום) (תיקון - הכרה בחבלות נפש על רקע השתתפות בפעילות מבצעית וקביעת אחוזי נכות), התשפ'א-2021",dup_laws_bot,פ\24\150,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156836,"אם מגייסים אנשים בכפייה בוושאי שצריך לתגמל אותם גם על חבלות נפשיות ראה חוק
פ/2467/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2148297",,0,0,מכלוף מיקי זוהר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מכלוף מיקי זוהר
"הצעת חוק הפרשנות (תיקון - הגדרת הפליה על רקע זהות מגדרית או נטייה מינית), התשפ'א-2021",dup_laws_bot,פ\24\151,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156653,"חוק ליברלי בחוקים שאוסרים על המדינה להפלות. חוק אנטי-ליברלי בחוקים שאוסרים על אפליה במגזר הפרטי ראה חוק
פ/84/23 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085727",,0,0,ניצן הורוביץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ניצן הורוביץ
"הצעת חוק לתיקון פקודת התעבורה (החרגת בעלי רישיון שימוש בקנבוס רפואי), התשפ'א-2021",dup_laws_bot,פ\24\152,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156229,"יז ראה חוק
פ/225/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081653",,0,0,שרן מרים השכל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שרן מרים השכל
"הצעת חוק גנים לאומיים, שמורות טבע אתרים לאומיים ואתרי הנצחה (תיקון - הסדרת תחבורה ציבורית), התשפ'א-2021",,פ\24\153,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156900,,,0,0,מרב מיכאלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מרב מיכאלי
"הצעת חוק לתיקון פקודת התעבורה (ביטול מופע אור ירוק ברמזור פנייה ימינה בעת הופעת אור ירוק ברמזור להולכי רגל), התשפ'א-2021",,פ\24\154,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156526,,,0,0,ינון אזולאי,בועז טופורובסקי,משה ארבל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ינון אזולאיבועז טופורובסקימשה ארבל
"הצעת חוק לפיצוי עסקים בשל סגירת עסקיהם במצב חירום, התשפ'א-2021",,פ\24\155,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156541,,,0,0,גדעון סער,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גדעון סער
"הצעת חוק מס ערך מוסף (תיקון - עידוד פתיחת עסקים חדשים), התשפ'א-2021",,פ\24\156,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156235,,,0,0,יעקב אשר,משה גפני,יצחק פינדרוס,אליהו ברוכי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יעקב אשרמשה גפנייצחק פינדרוסאליהו ברוכי
"הצעת חוק התובע הכללי, התשפ'א-2021",,פ\24\157,,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156590,,,0,0,מכלוף מיקי זוהר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מכלוף מיקי זוהר
"הצעת חוק לתיקון פקודת הבנקאות (הגבלת עמלת פירעון מוקדם של הלוואה לדיור), התשפ'א-2021",dup_laws_bot,פ\24\158,-3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156238,"ראה חוק
פ/428/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081877",,1,0,שלמה קרעי,חוה אתי עטייה,משה אבוטבול,ישראל אייכלר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,שלמה קרעיחוה אתי עטייהמשה אבוטבולישראל אייכלר
"הצעת חוק הסדרת העיסוק במקצועות הבריאות (תיקון - טיפול באמצעות אמנויות), התשפ""א-2021",bignafcomp@gmail.com,פ/159/24,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2156592,יצירת גילדה בתחום טיפול באמנויות. יעלה את יוקר המחיה ומונע חופש העיסוק.,,1,0,קרן ברק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קרן ברק
